Model,MSE,R2,Rank
Linear Regression Scratch,4.082628398521867,0.9889832909573144,1
Linear Regression Sklearn,4.0826283985218526,0.9889832909573144,1
Ridge,4.082634172989549,0.9889832753752864,3
Sklearn Stacking,4.086989531840684,0.9889715227207324,4
Lasso,4.087655817320182,0.9889697247924004,5
Manual Stacking,4.350191451233507,0.9882612893410606,6
SVR Sklearn,4.3591684108527895,0.988237065595336,7
Gradient Boosting,7.654834259949416,0.9793439241635667,8
kNN Sklearn,8.466280000000001,0.9771542902440798,9
kNN Scratch,8.47718,0.9771248772980942,10
AdaBoost,54.74805129935243,0.8522659196616185,11
Decision Tree,83.1039876110502,0.7757492569910709,12
SVR Scratch,354.580250609437,0.0431880955266511,13
